frame_id,camera,local_track_id,global_id,x1,y1,x2,y2,width,height,center_x,center_y,confidence
11,broadcast,5,5,933,574,966,672,33,98,949.5,623.0,0.8244457244873047
11,tacticam,10,3,290,781,346,856,56,75,318.0,818.5,0.9320755004882812
11,tacticam,15,11,997,146,1034,191,37,45,1015.5,168.5,0.923723042011261
11,tacticam,8,8,1309,809,1344,888,35,79,1326.5,848.5,0.9228048324584961
11,tacticam,6,22,1126,350,1165,408,39,58,1145.5,379.0,0.9220877885818481
11,tacticam,5,2,854,574,898,640,44,66,876.0,607.0,0.9216286540031433
11,tacticam,2,15,1702,322,1745,385,43,63,1723.5,353.5,0.9214362502098083
11,tacticam,7,29,1667,463,1703,524,36,61,1685.0,493.5,0.9213147163391113
11,tacticam,16,4,814,242,853,295,39,53,833.5,268.5,0.9188324809074402
11,tacticam,19,27,555,95,582,141,27,46,568.5,118.0,0.9154088497161865
11,tacticam,17,31,424,200,459,261,35,61,441.5,230.5,0.9120630025863647
11,tacticam,11,14,286,425,318,491,32,66,302.0,458.0,0.9118838906288147
11,tacticam,3,12,1120,481,1147,543,27,62,1133.5,512.0,0.8985835313796997
11,tacticam,13,10,745,392,785,450,40,58,765.0,421.0,0.8965693712234497
11,tacticam,18,7,1481,226,1510,274,29,48,1495.5,250.0,0.8934602737426758
11,tacticam,12,19,718,343,753,399,35,56,735.5,371.0,0.8924532532691956
11,tacticam,1,9,298,513,326,579,28,66,312.0,546.0,0.8847327828407288
11,tacticam,14,5,946,267,966,327,20,60,956.0,297.0,0.873697817325592
11,tacticam,21,16,892,157,917,204,25,47,904.5,180.5,0.8673578500747681
11,tacticam,4,20,921,200,948,248,27,48,934.5,224.0,0.8522619605064392
12,broadcast,2,2,1534,717,1635,843,101,126,1584.5,780.0,0.9292099475860596
12,broadcast,3,3,632,745,686,878,54,133,659.0,811.5,0.9163651466369629
12,broadcast,4,4,1266,469,1336,561,70,92,1301.0,515.0,0.9101171493530273
12,broadcast,9,9,853,609,926,717,73,108,889.5,663.0,0.9086828827857971
12,broadcast,14,14,827,568,881,662,54,94,854.0,615.0,0.9081701636314392
12,broadcast,8,8,1503,430,1552,518,49,88,1527.5,474.0,0.9051020741462708
12,broadcast,5,5,937,571,981,671,44,100,959.0,621.0,0.896530270576477
12,broadcast,10,10,1788,597,1834,705,46,108,1811.0,651.0,0.8921337723731995
12,broadcast,11,11,1557,495,1610,585,53,90,1583.5,540.0,0.8898547291755676
12,broadcast,12,12,1596,567,1641,671,45,104,1618.5,619.0,0.881861686706543
12,tacticam,17,31,422,200,462,257,40,57,442.0,228.5,0.9258177876472473
12,tacticam,10,3,289,779,343,852,54,73,316.0,815.5,0.9256453514099121
12,tacticam,5,2,854,571,898,639,44,68,876.0,605.0,0.9244459271430969
